surface observations;Parameter description;cloud_cover_total;daily_mean_of_temperature_previous_day;depth_of_new_snow;dew_point_temperature_at_2_meter_above_ground;diffuse_solar_radiation_last_hour;direct_solar_radiation_last_24_hours;direct_solar_radiation_last_hour;dry_bulb_temperature_at_2_meter_above_ground;evaporation/evapotranspiration_last_24_hours;global_radiation_last_hour;global_radiation_past_24_hours;height_of_base_of_lowest_cloud_above_station;horizontal_visibility;maximum_of_10_minutes_mean_of_wind_speed_for_previous_day;maximum_of_temperature_for_previous_day;maximum_temperature_last_12_hours_2_meters_above_ground;maximum_wind_speed_as_10_minutes_mean_during_last_hour;maximum_wind_speed_during_last_6_hours;maximum_wind_speed_for_previous_day;maximum_wind_speed_last_hour;mean_wind_direction_during_last_10 min_at_10_meters_above_ground;mean_wind_speed_during last_10_min_at_10_meters_above_ground;minimum_of_temperature_at_5_cm_above_ground_for_previous_day;minimum_of_temperature_for_previous_day;minimum_temperature_last_12_hours_2_meters_above_ground;minimum_temperature_last_12_hours_5_cm_above_ground;past_weather_1;past_weather_2;precipitation_amount_last_24_hours;precipitation_amount_last_3_hours;precipitation_amount_last_6_hours;precipitation_amount_last_hour;precipitation_last_12_hours;present_weather;pressure_reduced_to_mean_sea_level;relative_humidity;sea/water_temperature;temperature_at_5_cm_above_ground;total_snow_depth;total_time_of_sunshine_during_last_hour;total_time_of_sunshine_past_day
10488;Unit;%;Grad C;cm;Grad C;W/m2;W/m2;W/m2;Grad C;mm;W/m2;W/m2;m;km;km/h;Grad C;Grad C;km/h;km/h;km/h;km/h;Grad;km/h;Grad C;Grad C;Grad C;Grad C;CODE_TABLE;CODE_TABLE;mm;mm;mm;mm;mm;CODE_TABLE;hPa;%;Grad C;Grad C;cm;min;h
Datum;Uhrzeit (UTC);Wolkenbedeckung;mittlere Temperatur (vergangener Tag, 2m);Neuschneehoehe;Taupunkttemperatur (2m);Diffuse Strahlung (letzte Stunde);Direkte Strahlung (vergangene 24 Stunden);Direkte Strahlung (letzte Stunde);Temperatur (2m);Evaporation (vergangene 24 Stunden);Globalstrahlung (letzte Stunde);Globalstrahlung (vergangene 24 Stunden);Wolkenuntergrenze;Sichtweite;Maximalwind (vergangener Tag);Maximumtemperatur (vergangener Tag, 2m);Maximumtemperatur (letzte 12 Stunden, 2m);Maximalwind (letzte Stunde);Windboen (letzte 6 Stunden);Windboen (vergangener Tag);Windboen (letzte Stunde);Windrichtung;Windgeschwindigkeit;Minimumtemperatur (vergangener Tag, 5cm);Minimumtemperatur (vergangener Tag, 2m);Minimumtemperatur (letzte 12 Stunden, 2m);Minimumtemperatur (letzte 12 Stunden, 5cm);vergangenes Wetter 1;vergangenes Wetter 2;Niederschlag (letzte 24 Stunden);Niederschlag (letzte 3 Stunden);Niederschlag (letzte 6 Stunden);Niederschlag (letzte Stunde);Niederschlag (letzte 12 Stunden);aktuelles Wetter;Druck (auf Meereshoehe);Relative Feuchte;Wassertemperatur;Temperatur (5cm);Schneehoehe;Sonnenscheindauer (letzte Stunde);Sonnenscheindauer (vergangener Tag)
07.09.26;20:00;0;---;---;10,7;0;---;---;19;---;0;---;---;52;---;---;---;23;---;---;27;160;21;---;---;---;---;---;---;---;---;---;0;---;1;1017,6;59;---;17,5;0;0;---
07.09.26;19:00;0;---;---;10,7;0;---;---;19,3;---;0;---;---;57,8;---;---;---;22;---;---;28;160;22;---;---;---;---;---;---;---;---;---;0;---;1;1017,9;58;---;17,9;0;0;---
07.09.26;18:00;75;---;---;10,9;13;---;---;19,8;---;21;---;3810;54,9;19;---;23;19;26;---;26;160;19;---;---;13,1;12,9;11;10;---;0;0;0;0;3;1018;56;---;18,3;0;20;---
07.09.26;17:00;0;---;---;10,7;66;---;---;20,9;---;144;---;---;61,9;---;---;---;19;---;---;26;160;19;---;---;---;---;---;---;---;---;---;0;---;1;1018,4;52;---;19,7;0;53;---
07.09.26;16:00;100;---;---;11,4;117;---;---;21,6;---;145;---;3360;54,2;---;---;---;19;---;---;25;140;14;---;---;---;---;---;---;---;---;---;0;---;4;1019;52;---;21,6;0;9;---
07.09.26;15:00;100;---;---;11,9;202;---;---;21,9;---;253;---;3650;55,5;---;---;---;17;---;---;24;140;14;---;---;---;---;11;10;---;0;---;0;---;4;1019,7;53;---;21,8;0;8;---
07.09.26;14:00;88;---;---;11,7;235;---;---;21,7;---;279;---;3490;56,6;---;---;---;17;---;---;24;140;17;---;---;---;---;---;---;---;---;---;0;---;4;1020,1;53;---;22,2;0;4;---
07.09.26;13:00;100;---;---;11;334;---;---;22;---;522;---;3610;56;---;---;---;16;---;---;23;150;11;---;---;---;---;---;---;---;---;---;0;---;4;1020,9;50;---;23,8;0;35;---
07.09.26;12:00;100;---;---;11,5;258;---;---;20,6;---;288;---;3510;53,8;17;---;---;17;30;---;24;150;15;---;---;---;---;---;---;---;0;0;0;---;4;1021,7;56;---;21,5;0;1;---
