station_abbr;reference_timestamp;tre200s0;tre005s0;tresurs0;xchills0;ure200s0;tde200s0;pva200s0;prestas0;pp0qnhs0;pp0qffs0;ppz850s0;ppz700s0;fkl010z1;fve010z0;fkl010z0;dkl010z0;wcc006s0;fu3010z0;fkl010z3;fu3010z1;fu3010z3;rre150z0;htoauts0;gre000z0;ods000z0;oli000z0;olo000z0;osr000z0;sre000z0;tso005s0;tso010s0;tso020s0
ABO;07.09.2026 00:00;18.8;12.8;12.1;18.8;44.3;6.4;9.6;877.4;1028.7;;1597.6;;1.2;0.7;0.7;323;0;2.5;1.2;4.3;4.3;0;0;2;1;;;;0;;;
ABO;07.09.2026 00:10;18.5;13.4;12.7;18.5;45.2;6.4;9.6;877.4;1028.7;;1597.3;;1.6;1;1.1;298;0;4;1.6;5.8;5.8;0;0;3;1;;;;0;;;
ABO;07.09.2026 00:20;18.2;13.4;12.7;18.2;46.4;6.5;9.7;877.3;1028.6;;1596;;1.5;0.9;1;274;0;3.6;1.5;5.4;5.4;0;0;2;1;;;;0;;;
ABO;07.09.2026 00:30;18.8;13.1;12.4;18.8;43.9;6.3;9.5;877.3;1028.6;;1596.6;;1.6;0.8;0.9;272;0;3.2;1.5;5.8;5.4;0;0;2;1;;;;0;;;
ABO;07.09.2026 00:40;18.3;13;12.2;18.3;46;6.5;9.7;877.3;1028.6;;1596.1;;1;0.2;0.5;205;0;1.8;1;3.6;3.6;0;0;2;1;;;;0;;;
ABO;07.09.2026 00:50;18.1;12.8;12.1;18.1;45.9;6.3;9.5;877.2;1028.5;;1595;;1.4;0.8;1;326;0;3.6;1.3;5;4.7;0;0;5;4;;;;0;;;
ABO;07.09.2026 01:00;17.2;12.5;11.8;17.2;50;6.7;9.8;877.1;1028.4;;1593.1;;1.4;0.7;0.7;272;0;2.5;1.3;5;4.7;0;0;3;2;;;;0;;;
ABO;07.09.2026 01:10;17.6;12.6;11.8;17.6;49;6.8;9.9;877.1;1028.4;;1593.5;;1.5;0.5;0.6;330;0;2.2;1.4;5.4;5;0;0;2;1;;;;0;;;
ABO;07.09.2026 01:20;18.4;12.7;12;18.4;45.7;6.5;9.7;877;1028.3;;1593.3;;1.7;0.9;0.9;298;0;3.2;1.7;6.1;6.1;0;0;2;1;;;;0;;;
ABO;07.09.2026 01:30;19;12.6;11.8;19;43.3;6.2;9.5;876.9;1028.2;;1592.9;;1.4;0.7;0.7;283;0;2.5;1.4;5;5;0;0;2;1;;;;0;;;
ABO;07.09.2026 01:40;18.1;12.8;12;18.1;45.8;6.2;9.5;876.8;1028.1;;1591.1;;1.4;0.7;0.8;305;0;2.9;1.4;5;5;0;0;2;1;;;;0;;;
ABO;07.09.2026 01:50;17.7;12.3;11.6;17.7;48.1;6.6;9.7;876.7;1027.9;;1589.7;;1.5;0.8;0.9;274;0;3.2;1.4;5.4;5;0;0;3;1;;;;0;;;
ABO;07.09.2026 02:00;17.2;12.3;11.5;17.2;50.1;6.7;9.8;876.7;1027.9;;1589.3;;1.2;0.6;0.7;247;0;2.5;1.1;4.3;4;0;0;3;2;;;;0;;;
ABO;07.09.2026 02:10;17.2;12.1;11.4;17.2;49.8;6.6;9.8;876.7;1027.9;;1589.3;;1.1;0.3;0.4;226;0;1.4;1;4;3.6;0;0;3;2;;;;0;;;
ABO;07.09.2026 02:20;18.1;12.4;11.7;18.1;46.5;6.5;9.7;876.7;1027.9;;1590.1;;1.1;0.4;0.6;319;0;2.2;1;4;3.6;0;0;4;3;;;;0;;;
ABO;07.09.2026 02:30;18.4;12.4;11.7;18.4;45.6;6.5;9.6;876.7;1027.9;;1590.4;;1.2;0.5;0.6;324;0;2.2;1.1;4.3;4;0;0;2;1;;;;0;;;
ABO;07.09.2026 02:40;18.5;12.3;11.5;18.5;44.8;6.3;9.5;876.7;1027.9;;1590.5;;1.3;0.6;0.6;302;0;2.2;1.3;4.7;4.7;0;0;2;1;;;;0;;;
ABO;07.09.2026 02:50;18.5;12.4;11.6;18.5;45.1;6.4;9.6;876.7;1027.9;;1590.5;;1.3;0.5;0.7;330;0;2.5;1.3;4.7;4.7;0;0;3;1;;;;0;;;
ABO;07.09.2026 03:00;18.2;12.2;11.5;18.2;46.6;6.6;9.7;876.6;1027.8;;1589.2;;1.2;0.4;0.5;309;0;1.8;1.2;4.3;4.3;0;0;3;2;;;;0;;;
ABO;07.09.2026 03:10;17.9;12.7;12;17.9;47.4;6.6;9.7;876.6;1027.8;;1589;;1.4;0.6;0.8;2;0;2.9;1.3;5;4.7;0;0;2;1;;;;0;;;
ABO;07.09.2026 03:20;18.3;12.6;11.8;18.3;45.5;6.3;9.6;876.6;1027.8;;1589.3;;4.7;1.8;1.9;39;0;6.8;4.6;16.9;16.6;0;0;3;2;;;;0;;;
ABO;07.09.2026 03:30;17.6;13.4;12.6;17.6;48.2;6.5;9.7;876.8;1028.1;;1590.6;;2.8;1.6;1.7;53;0;6.1;2.7;10.1;9.7;0;0;4;2;;;;0;;;
ABO;07.09.2026 03:40;17.3;14.2;13.6;17.3;51.3;7.2;10.1;877.3;1028.6;;1595.2;;9;2.9;3.1;49;0;11.2;8.3;32.4;29.9;0;0;6;5;;;;0;;;
ABO;07.09.2026 03:50;16.2;15.1;14.7;16.2;59.8;8.4;11;877.8;1029.2;;1598.9;;9;3.8;4.1;42;0;14.8;8.3;32.4;29.9;0;0;3;2;;;;0;;;
ABO;07.09.2026 04:00;16.5;15.3;15;16.5;62;9.2;11.6;878.4;1029.9;;1605;;8.3;2.7;3.4;59;0;12.2;8.2;29.9;29.5;0;0;4;3;;;;0;;;
ABO;07.09.2026 04:10;16.7;14.9;14.6;16.7;62.2;9.4;11.8;879.2;1030.8;;1612.9;;3.8;2;2.3;224;0;8.3;3.6;13.7;13;0;0;5;4;;;;0;;;
ABO;07.09.2026 04:20;16.7;14.8;14.5;16.7;64.9;10.1;12.3;879.3;1030.9;;1613.9;;1.9;1.1;1.2;209;0;4.3;1.8;6.8;6.5;0;0;3;2;;;;0;;;
ABO;07.09.2026 04:30;16.9;14.3;14.2;16.9;63.6;10;12.2;879.4;1031;;1615;;2.3;1.3;1.5;222;0;5.4;2.3;8.3;8.3;0;0;2;1;;;;0;;;
ABO;07.09.2026 04:40;16;13.8;13.7;16;76.2;11.8;13.8;879.7;1031.4;;1617;;6.6;3;3.1;242;0;11.2;6.5;23.8;23.4;0.1;0;8;6;;;;0;;;
ABO;07.09.2026 04:50;15.7;13.8;13.8;15.7;81.4;12.5;14.5;879.2;1030.8;;1611.9;;3.3;1.9;2;257;0;7.2;3.2;11.9;11.5;0.1;0;4;3;;;;0;;;
ABO;07.09.2026 05:00;16.1;13.6;13.6;16.1;78.4;12.3;14.3;878.9;1030.4;;1609.4;;5.7;2.2;2.5;280;0;9;5.5;20.5;19.8;0;0;4;3;;;;0;;;
ABO;07.09.2026 05:10;15.2;13.5;13.5;15.2;83.2;12.4;14.4;878.7;1030.2;;1606.5;;5.7;0.5;2.4;320;0;8.6;5.7;20.5;20.5;0;0;3;1;;;;0;;;
ABO;07.09.2026 05:20;15.8;13.4;13.4;15.8;78.8;12.1;14.1;878.8;1030.3;;1608.1;;4;2.1;2.3;1;0;8.3;3.9;14.4;14;0;0;7;6;;;;0;;;
ABO;07.09.2026 05:30;15.8;13.5;13.5;15.8;79.7;12.3;14.3;878.7;1030.2;;1607.2;;3.9;2.2;2.4;315;0;8.6;3.7;14;13.3;0;0;9;7;;;;0;;;
ABO;07.09.2026 05:40;15.4;13.6;13.6;15.4;83.1;12.5;14.5;878.7;1030.2;;1606.8;;2.1;1.2;1.2;296;0;4.3;2;7.6;7.2;0;0;16;15;;;;0;;;
ABO;07.09.2026 05:50;15.6;13.6;13.6;15.6;80.2;12.2;14.2;878.5;1030;;1605;;2.4;0.5;0.9;191;0;3.2;2.3;8.6;8.3;0;0;26;25;;;;0;;;
ABO;07.09.2026 06:00;15.9;13.7;13.7;15.9;77.4;12;14;878.4;1029.9;;1604.4;;2.2;0.9;1.2;298;0;4.3;2;7.9;7.2;0;0;29;28;;;;0;;;
ABO;07.09.2026 06:10;16.1;13.7;13.8;16.1;76.2;11.9;13.9;878.4;1029.9;;1604.6;;2.6;1.6;1.6;233;0;5.8;2.5;9.4;9;0;0;32;31;;;;0;;;
ABO;07.09.2026 06:20;15.5;13.8;13.9;15.5;82.8;12.6;14.6;878.4;1029.9;;1604;;2;0.5;0.8;242;0;2.9;1.9;7.2;6.8;0;0;49;47;;;;0;;;
ABO;07.09.2026 06:30;15.6;14.3;14.4;15.6;83.1;12.7;14.7;878.3;1029.8;;1603.1;;1;0.2;0.5;21;0;1.8;1;3.6;3.6;0;0;83;80;;;;0;;;
ABO;07.09.2026 06:40;15.6;14.6;14.9;15.6;83.8;12.9;14.8;878.3;1029.8;;1603.1;;2.1;0.6;0.7;168;0;2.5;1.9;7.6;6.8;0;0;123;114;;;;0;;;
ABO;07.09.2026 06:50;16.3;14.6;14.8;16.3;79.9;12.8;14.8;878.2;1029.6;;1602.9;;1.5;0.6;0.8;266;0;2.9;1.5;5.4;5.4;0;0;74;64;;;;0;;;
ABO;07.09.2026 07:00;16;14.1;14.2;16;79.2;12.4;14.4;878.2;1029.6;;1602.6;;1.8;0.6;0.8;235;0;2.9;1.7;6.5;6.1;0;0;55;51;;;;0;;;
ABO;07.09.2026 07:10;17.4;16;16.6;17.4;74;12.7;14.7;878.1;1029.5;;1603;;1.2;0.5;0.6;291;0;2.2;1.1;4.3;4;0;0;296;130;;;;8;;;
ABO;07.09.2026 07:20;17.6;17.2;18.3;17.6;73.4;12.8;14.8;878;1029.4;;1602.2;;2.3;0.3;0.9;200;0;3.2;2.3;8.3;8.3;0;0;218;146;;;;3;;;
ABO;07.09.2026 07:30;17.4;16;17;17.4;73;12.5;14.5;878;1029.4;;1602;;1.7;0.4;0.7;179;0;2.5;1.6;6.1;5.8;0;0;127;120;;;;0;;;
ABO;07.09.2026 07:40;17.9;16;16.9;17.9;71.7;12.7;14.7;878.1;1029.5;;1603.5;;2;0.5;1;293;0;3.6;2;7.2;7.2;0;0;111;107;;;;0;;;
